Laser Power (dBm),Q (dB),Length of Segment 1 (km),Span (km),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-7,6.5754,9.0,10,100,250,112,0.16,0.158
-6,7.2458,9.0,10,100,250,112,0.16,0.158
-5,7.8031,9.0,10,100,250,112,0.16,0.158
-4,7.9911,9.0,10,100,250,112,0.16,0.158
-3,7.9271,9.0,10,100,250,112,0.16,0.158
-2,7.4051,9.0,10,100,250,112,0.16,0.158
-1,6.756,9.0,10,100,250,112,0.16,0.158
0,5.2518,9.0,10,100,250,112,0.16,0.158
1,3.7005,9.0,10,100,250,112,0.16,0.158
2,1.5669,9.0,10,100,250,112,0.16,0.158
-9,4.9526,10.0,10,100,250,112,0.16,0.158
-8,5.85,10.0,10,100,250,112,0.16,0.158
-7,6.5973,10.0,10,100,250,112,0.16,0.158
-6,7.3388,10.0,10,100,250,112,0.16,0.158
-5,7.944,10.0,10,100,250,112,0.16,0.158
-4,8.2819,10.0,10,100,250,112,0.16,0.158
-3,8.2609,10.0,10,100,250,112,0.16,0.158
-2,7.9179,10.0,10,100,250,112,0.16,0.158
-1,7.2238,10.0,10,100,250,112,0.16,0.158
0,6.1527,10.0,10,100,250,112,0.16,0.158
1,4.6295,10.0,10,100,250,112,0.16,0.158
2,2.4862,10.0,10,100,250,112,0.16,0.158
-9,5.7557,0.0,20,100,250,112,0.16,0.158
-8,6.4805,0.0,20,100,250,112,0.16,0.158
-7,7.1129999999999995,0.0,20,100,250,112,0.16,0.158
-6,7.4703,0.0,20,100,250,112,0.16,0.158
-5,7.2972,0.0,20,100,250,112,0.16,0.158
-4,6.7857,0.0,20,100,250,112,0.16,0.158
-3,6.0748,0.0,20,100,250,112,0.16,0.158
-2,4.5553,0.0,20,100,250,112,0.16,0.158
-1,2.2691,0.0,20,100,250,112,0.16,0.158
0,0.26283,0.0,20,100,250,112,0.16,0.158
1,-0.37751999999999997,0.0,20,100,250,112,0.16,0.158
2,-2.8151,0.0,20,100,250,112,0.16,0.158
-9,5.8668,2.0,20,100,250,112,0.16,0.158
-8,6.5206,2.0,20,100,250,112,0.16,0.158
-7,7.204,2.0,20,100,250,112,0.16,0.158
-6,7.5564,2.0,20,100,250,112,0.16,0.158
-5,7.544,2.0,20,100,250,112,0.16,0.158
-4,7.1399,2.0,20,100,250,112,0.16,0.158
-3,6.4752,2.0,20,100,250,112,0.16,0.158
-2,5.5626,2.0,20,100,250,112,0.16,0.158
-1,2.9996,2.0,20,100,250,112,0.16,0.158
0,1.9946,2.0,20,100,250,112,0.16,0.158
1,-1.5392,2.0,20,100,250,112,0.16,0.158
2,-2.2028,2.0,20,100,250,112,0.16,0.158
-9,5.8345,4.0,20,100,250,112,0.16,0.158
-8,6.666,4.0,20,100,250,112,0.16,0.158
-7,7.2374,4.0,20,100,250,112,0.16,0.158
-6,7.6427,4.0,20,100,250,112,0.16,0.158
-5,7.8017,4.0,20,100,250,112,0.16,0.158
-4,7.6427,4.0,20,100,250,112,0.16,0.158
-3,6.2589,4.0,20,100,250,112,0.16,0.158
-2,5.2915,4.0,20,100,250,112,0.16,0.158
-1,4.0326,4.0,20,100,250,112,0.16,0.158
0,2.3082,4.0,20,100,250,112,0.16,0.158
1,1.3411,4.0,20,100,250,112,0.16,0.158
2,-1.7753,4.0,20,100,250,112,0.16,0.158
-9,5.8167,6.0,20,100,250,112,0.16,0.158
-8,6.6929,6.0,20,100,250,112,0.16,0.158
-7,7.2864,6.0,20,100,250,112,0.16,0.158
-6,7.7917,6.0,20,100,250,112,0.16,0.158
-5,7.8982,6.0,20,100,250,112,0.16,0.158
-4,7.8551,6.0,20,100,250,112,0.16,0.158
-3,7.2993,6.0,20,100,250,112,0.16,0.158
-2,6.4602,6.0,20,100,250,112,0.16,0.158
-1,5.2031,6.0,20,100,250,112,0.16,0.158
0,2.8657,6.0,20,100,250,112,0.16,0.158
1,1.4534,6.0,20,100,250,112,0.16,0.158
2,-0.75938,6.0,20,100,250,112,0.16,0.158
-9,5.8398,8.0,20,100,250,112,0.16,0.158
-8,6.5793,8.0,20,100,250,112,0.16,0.158
-7,7.3157,8.0,20,100,250,112,0.16,0.158
-6,8.0007,8.0,20,100,250,112,0.16,0.158
-5,8.061,8.0,20,100,250,112,0.16,0.158
-4,7.9911,8.0,20,100,250,112,0.16,0.158
-3,7.4822,8.0,20,100,250,112,0.16,0.158
-2,6.1894,8.0,20,100,250,112,0.16,0.158
-1,5.1032,8.0,20,100,250,112,0.16,0.158
0,4.1383,8.0,20,100,250,112,0.16,0.158
1,2.573,8.0,20,100,250,112,0.16,0.158
2,-0.23740999999999998,8.0,20,100,250,112,0.16,0.158
-9,5.8446,10.0,20,100,250,112,0.16,0.158
-8,6.6243,10.0,20,100,250,112,0.16,0.158
-7,7.4258,10.0,20,100,250,112,0.16,0.158
-6,7.9943,10.0,20,100,250,112,0.16,0.158
-5,8.3266,10.0,20,100,250,112,0.16,0.158
-4,8.1446,10.0,20,100,250,112,0.16,0.158
-3,7.7471,10.0,20,100,250,112,0.16,0.158
-2,7.0689,10.0,20,100,250,112,0.16,0.158
-1,4.6467,10.0,20,100,250,112,0.16,0.158
0,4.4453,10.0,20,100,250,112,0.16,0.158
1,3.2444,10.0,20,100,250,112,0.16,0.158
2,0.85565,10.0,20,100,250,112,0.16,0.158
-9,5.8333,12.0,20,100,250,112,0.16,0.158
-8,6.7712,12.0,20,100,250,112,0.16,0.158
-7,7.4178,12.0,20,100,250,112,0.16,0.158
-6,8.1117,12.0,20,100,250,112,0.16,0.158
-5,8.5429,12.0,20,100,250,112,0.16,0.158
-4,8.3424,12.0,20,100,250,112,0.16,0.158
-3,7.9847,12.0,20,100,250,112,0.16,0.158
-2,7.4715,12.0,20,100,250,112,0.16,0.158
-1,5.1613,12.0,20,100,250,112,0.16,0.158
0,5.772,12.0,20,100,250,112,0.16,0.158
1,2.7776,12.0,20,100,250,112,0.16,0.158
2,1.3783,12.0,20,100,250,112,0.16,0.158
-9,5.8416,14.0,20,100,250,112,0.16,0.158
-8,6.7268,14.0,20,100,250,112,0.16,0.158
-7,7.4858,14.0,20,100,250,112,0.16,0.158
-6,8.0946,14.0,20,100,250,112,0.16,0.158
-5,8.4542,14.0,20,100,250,112,0.16,0.158
-4,8.6181,14.0,20,100,250,112,0.16,0.158
-3,8.3325,14.0,20,100,250,112,0.16,0.158
-2,7.5588,14.0,20,100,250,112,0.16,0.158
-1,7.0631,14.0,20,100,250,112,0.16,0.158
0,4.838,14.0,20,100,250,112,0.16,0.158
1,4.0875,14.0,20,100,250,112,0.16,0.158
2,2.3076,14.0,20,100,250,112,0.16,0.158
-9,5.8494,16.0,20,100,250,112,0.16,0.158
-8,6.7226,16.0,20,100,250,112,0.16,0.158
-7,7.4609,16.0,20,100,250,112,0.16,0.158
-6,8.1854,16.0,20,100,250,112,0.16,0.158
-5,8.6573,16.0,20,100,250,112,0.16,0.158
-4,8.8153,16.0,20,100,250,112,0.16,0.158
-3,8.4956,16.0,20,100,250,112,0.16,0.158
-2,8.0693,16.0,20,100,250,112,0.16,0.158
-1,7.2756,16.0,20,100,250,112,0.16,0.158
0,5.8885,16.0,20,100,250,112,0.16,0.158
1,4.0208,16.0,20,100,250,112,0.16,0.158
2,2.8417,16.0,20,100,250,112,0.16,0.158
-9,5.9288,18.0,20,100,250,112,0.16,0.158
-8,6.7401,18.0,20,100,250,112,0.16,0.158
-7,7.5763,18.0,20,100,250,112,0.16,0.158
-6,8.2403,18.0,20,100,250,112,0.16,0.158
-5,8.7904,18.0,20,100,250,112,0.16,0.158
-4,8.9538,18.0,20,100,250,112,0.16,0.158
-3,8.6673,18.0,20,100,250,112,0.16,0.158
-2,8.076,18.0,20,100,250,112,0.16,0.158
-1,7.7763,18.0,20,100,250,112,0.16,0.158
0,6.2644,18.0,20,100,250,112,0.16,0.158
1,5.7022,18.0,20,100,250,112,0.16,0.158
2,4.2795,18.0,20,100,250,112,0.16,0.158
-9,5.8518,20.0,20,100,250,112,0.16,0.158
-8,6.6676,20.0,20,100,250,112,0.16,0.158
-7,7.5738,20.0,20,100,250,112,0.16,0.158
-6,8.2857,20.0,20,100,250,112,0.16,0.158
-5,8.734,20.0,20,100,250,112,0.16,0.158
-4,9.0954,20.0,20,100,250,112,0.16,0.158
-3,8.902000000000001,20.0,20,100,250,112,0.16,0.158
-2,8.566,20.0,20,100,250,112,0.16,0.158
-1,8.0168,20.0,20,100,250,112,0.16,0.158
0,7.2154,20.0,20,100,250,112,0.16,0.158
1,4.7523,20.0,20,100,250,112,0.16,0.158
2,4.0284,20.0,20,100,250,112,0.16,0.158
-9,5.856,0.0,25,100,250,112,0.16,0.158
-8,6.6219,0.0,25,100,250,112,0.16,0.158
-7,7.1834,0.0,25,100,250,112,0.16,0.158
-6,7.6092,0.0,25,100,250,112,0.16,0.158
-5,7.5366,0.0,25,100,250,112,0.16,0.158
-4,7.3233,0.0,25,100,250,112,0.16,0.158
-3,5.9671,0.0,25,100,250,112,0.16,0.158
-2,5.2169,0.0,25,100,250,112,0.16,0.158
-1,3.9589,0.0,25,100,250,112,0.16,0.158
0,2.3786,0.0,25,100,250,112,0.16,0.158
1,-0.80838,0.0,25,100,250,112,0.16,0.158
2,-1.7651,0.0,25,100,250,112,0.16,0.158
-9,5.8928,2.5,25,100,250,112,0.16,0.158
-8,6.675,2.5,25,100,250,112,0.16,0.158
-7,7.3015,2.5,25,100,250,112,0.16,0.158
-6,7.6492,2.5,25,100,250,112,0.16,0.158
-5,7.6928,2.5,25,100,250,112,0.16,0.158
-4,7.4051,2.5,25,100,250,112,0.16,0.158
-3,6.343,2.5,25,100,250,112,0.16,0.158
-2,6.0344,2.5,25,100,250,112,0.16,0.158
-1,3.2553,2.5,25,100,250,112,0.16,0.158
0,1.6893,2.5,25,100,250,112,0.16,0.158
1,0.52689,2.5,25,100,250,112,0.16,0.158
2,-0.74144,2.5,25,100,250,112,0.16,0.158
-9,5.9110000000000005,5.0,25,100,250,112,0.16,0.158
-8,6.7552,5.0,25,100,250,112,0.16,0.158
-7,7.3321,5.0,25,100,250,112,0.16,0.158
-6,7.8002,5.0,25,100,250,112,0.16,0.158
-5,7.9164,5.0,25,100,250,112,0.16,0.158
-4,7.8669,5.0,25,100,250,112,0.16,0.158
-3,7.2864,5.0,25,100,250,112,0.16,0.158
-2,6.5236,5.0,25,100,250,112,0.16,0.158
-1,4.1363,5.0,25,100,250,112,0.16,0.158
0,3.451,5.0,25,100,250,112,0.16,0.158
1,1.0714,5.0,25,100,250,112,0.16,0.158
2,-1.4735,5.0,25,100,250,112,0.16,0.158
-9,5.9423,7.5,25,100,250,112,0.16,0.158
-8,6.6251,7.5,25,100,250,112,0.16,0.158
-7,7.3244,7.5,25,100,250,112,0.16,0.158
-6,7.8289,7.5,25,100,250,112,0.16,0.158
-5,8.1693,7.5,25,100,250,112,0.16,0.158
-4,7.8967,7.5,25,100,250,112,0.16,0.158
-3,7.522,7.5,25,100,250,112,0.16,0.158
-2,5.6676,7.5,25,100,250,112,0.16,0.158
-1,5.3594,7.5,25,100,250,112,0.16,0.158
0,4.1149,7.5,25,100,250,112,0.16,0.158
1,2.0425,7.5,25,100,250,112,0.16,0.158
2,-0.6711699999999999,7.5,25,100,250,112,0.16,0.158
-9,5.8976,10.0,25,100,250,112,0.16,0.158
-8,6.6913,10.0,25,100,250,112,0.16,0.158
-7,7.4445,10.0,25,100,250,112,0.16,0.158
-6,8.1048,10.0,25,100,250,112,0.16,0.158
-5,8.2572,10.0,25,100,250,112,0.16,0.158
-4,8.1324,10.0,25,100,250,112,0.16,0.158
-3,7.7595,10.0,25,100,250,112,0.16,0.158
-2,7.204,10.0,25,100,250,112,0.16,0.158
-1,6.2015,10.0,25,100,250,112,0.16,0.158
0,4.4673,10.0,25,100,250,112,0.16,0.158
1,3.4371,10.0,25,100,250,112,0.16,0.158
2,0.99272,10.0,25,100,250,112,0.16,0.158
-9,5.8812,12.5,25,100,250,112,0.16,0.158
-8,6.8305,12.5,25,100,250,112,0.16,0.158
-7,7.5826,12.5,25,100,250,112,0.16,0.158
-6,8.1203,12.5,25,100,250,112,0.16,0.158
-5,8.5202,12.5,25,100,250,112,0.16,0.158
-4,8.416,12.5,25,100,250,112,0.16,0.158
-3,8.1944,12.5,25,100,250,112,0.16,0.158
-2,7.6531,12.5,25,100,250,112,0.16,0.158
-1,5.5414,12.5,25,100,250,112,0.16,0.158
0,5.3718,12.5,25,100,250,112,0.16,0.158
1,3.4804,12.5,25,100,250,112,0.16,0.158
2,2.077,12.5,25,100,250,112,0.16,0.158
-9,5.9183,15.0,25,100,250,112,0.16,0.158
-8,6.7259,15.0,25,100,250,112,0.16,0.158
-7,7.5901,15.0,25,100,250,112,0.16,0.158
-6,8.1747,15.0,25,100,250,112,0.16,0.158
-5,8.6698,15.0,25,100,250,112,0.16,0.158
-4,8.5429,15.0,25,100,250,112,0.16,0.158
-3,8.3148,15.0,25,100,250,112,0.16,0.158
-2,7.7443,15.0,25,100,250,112,0.16,0.158
-1,6.3832,15.0,25,100,250,112,0.16,0.158
0,5.8398,15.0,25,100,250,112,0.16,0.158
1,3.6681,15.0,25,100,250,112,0.16,0.158
2,2.1528,15.0,25,100,250,112,0.16,0.158
-9,5.9677,17.5,25,100,250,112,0.16,0.158
-8,6.7848,17.5,25,100,250,112,0.16,0.158
-7,7.4846,17.5,25,100,250,112,0.16,0.158
-6,8.1693,17.5,25,100,250,112,0.16,0.158
-5,8.7079,17.5,25,100,250,112,0.16,0.158
-4,8.9726,17.5,25,100,250,112,0.16,0.158
-3,8.4868,17.5,25,100,250,112,0.16,0.158
-2,8.0314,17.5,25,100,250,112,0.16,0.158
-1,7.3632,17.5,25,100,250,112,0.16,0.158
0,6.272,17.5,25,100,250,112,0.16,0.158
1,4.6944,17.5,25,100,250,112,0.16,0.158
2,3.304,17.5,25,100,250,112,0.16,0.158
-9,5.9361,20.0,25,100,250,112,0.16,0.158
-8,6.7502,20.0,25,100,250,112,0.16,0.158
-7,7.5638,20.0,25,100,250,112,0.16,0.158
-6,8.2973,20.0,25,100,250,112,0.16,0.158
-5,8.9758,20.0,25,100,250,112,0.16,0.158
-4,9.201,20.0,25,100,250,112,0.16,0.158
-3,8.8812,20.0,25,100,250,112,0.16,0.158
-2,8.4456,20.0,25,100,250,112,0.16,0.158
-1,7.6649,20.0,25,100,250,112,0.16,0.158
0,6.7577,20.0,25,100,250,112,0.16,0.158
1,4.2365,20.0,25,100,250,112,0.16,0.158
2,3.8417,20.0,25,100,250,112,0.16,0.158
-9,5.8915,22.5,25,100,250,112,0.16,0.158
-8,6.7738,22.5,25,100,250,112,0.16,0.158
-7,7.5776,22.5,25,100,250,112,0.16,0.158
-6,8.3645,22.5,25,100,250,112,0.16,0.158
-5,9.0111,22.5,25,100,250,112,0.16,0.158
-4,9.2879,22.5,25,100,250,112,0.16,0.158
-3,8.9476,22.5,25,100,250,112,0.16,0.158
-2,8.7002,22.5,25,100,250,112,0.16,0.158
-1,7.8728,22.5,25,100,250,112,0.16,0.158
0,7.065,22.5,25,100,250,112,0.16,0.158
1,6.0135,22.5,25,100,250,112,0.16,0.158
2,3.9608,22.5,25,100,250,112,0.16,0.158
-9,5.919,25.0,25,100,250,112,0.16,0.158
-8,6.678999999999999,25.0,25,100,250,112,0.16,0.158
-7,7.6675,25.0,25,100,250,112,0.16,0.158
-6,8.3364,25.0,25,100,250,112,0.16,0.158
-5,8.9885,25.0,25,100,250,112,0.16,0.158
-4,9.519,25.0,25,100,250,112,0.16,0.158
-3,9.3212,25.0,25,100,250,112,0.16,0.158
-2,8.6499,25.0,25,100,250,112,0.16,0.158
-1,8.1604,25.0,25,100,250,112,0.16,0.158
0,6.6386,25.0,25,100,250,112,0.16,0.158
1,6.7934,25.0,25,100,250,112,0.16,0.158
2,5.2199,25.0,25,100,250,112,0.16,0.158
-8,6.5559,0.0,30,100,250,112,0.16,0.158
-7,7.1763,0.0,30,100,250,112,0.16,0.158
-6,7.6105,0.0,30,100,250,112,0.16,0.158
-5,7.7021,0.0,30,100,250,112,0.16,0.158
-4,7.4178,0.0,30,100,250,112,0.16,0.158
-3,5.7234,0.0,30,100,250,112,0.16,0.158
-2,5.9802,0.0,30,100,250,112,0.16,0.158
-1,4.4412,0.0,30,100,250,112,0.16,0.158
0,2.9481,0.0,30,100,250,112,0.16,0.158
1,-0.54932,0.0,30,100,250,112,0.16,0.158
2,-1.5142,0.0,30,100,250,112,0.16,0.158
3,-4.6135,0.0,30,100,250,112,0.16,0.158
-8,6.5981,3.0,30,100,250,112,0.16,0.158
-7,7.2982,3.0,30,100,250,112,0.16,0.158
-6,7.732,3.0,30,100,250,112,0.16,0.158
-5,7.8131,3.0,30,100,250,112,0.16,0.158
-4,7.7471,3.0,30,100,250,112,0.16,0.158
-3,7.1409,3.0,30,100,250,112,0.16,0.158
-2,6.3147,3.0,30,100,250,112,0.16,0.158
-1,4.5914,3.0,30,100,250,112,0.16,0.158
0,3.3013,3.0,30,100,250,112,0.16,0.158
1,0.9354299999999999,3.0,30,100,250,112,0.16,0.158
2,-1.1436,3.0,30,100,250,112,0.16,0.158
3,-2.6608,3.0,30,100,250,112,0.16,0.158
-8,6.5614,6.0,30,100,250,112,0.16,0.158
-7,7.2896,6.0,30,100,250,112,0.16,0.158
-6,7.9363,6.0,30,100,250,112,0.16,0.158
-5,8.1446,6.0,30,100,250,112,0.16,0.158
-4,8.11,6.0,30,100,250,112,0.16,0.158
-3,7.4834,6.0,30,100,250,112,0.16,0.158
-2,6.2239,6.0,30,100,250,112,0.16,0.158
-1,5.8928,6.0,30,100,250,112,0.16,0.158
0,3.6429,6.0,30,100,250,112,0.16,0.158
1,1.4354,6.0,30,100,250,112,0.16,0.158
2,-1.2003,6.0,30,100,250,112,0.16,0.158
3,-3.8263,6.0,30,100,250,112,0.16,0.158
-8,6.5997,9.0,30,100,250,112,0.16,0.158
-7,7.4028,9.0,30,100,250,112,0.16,0.158
-6,8.061,9.0,30,100,250,112,0.16,0.158
-5,8.3246,9.0,30,100,250,112,0.16,0.158
-4,8.2534,9.0,30,100,250,112,0.16,0.158
-3,7.9317,9.0,30,100,250,112,0.16,0.158
-2,7.0786,9.0,30,100,250,112,0.16,0.158
-1,6.2355,9.0,30,100,250,112,0.16,0.158
0,3.9824,9.0,30,100,250,112,0.16,0.158
1,3.0843,9.0,30,100,250,112,0.16,0.158
2,0.64705,9.0,30,100,250,112,0.16,0.158
3,-0.9248,9.0,30,100,250,112,0.16,0.158
-8,6.6195,12.0,30,100,250,112,0.16,0.158
-7,7.3983,12.0,30,100,250,112,0.16,0.158
-6,8.0168,12.0,30,100,250,112,0.16,0.158
-5,8.4371,12.0,30,100,250,112,0.16,0.158
-4,8.5475,12.0,30,100,250,112,0.16,0.158
-3,8.0677,12.0,30,100,250,112,0.16,0.158
-2,7.5256,12.0,30,100,250,112,0.16,0.158
-1,6.6443,12.0,30,100,250,112,0.16,0.158
0,4.579,12.0,30,100,250,112,0.16,0.158
1,2.9314,12.0,30,100,250,112,0.16,0.158
2,1.2814,12.0,30,100,250,112,0.16,0.158
3,-1.3294,12.0,30,100,250,112,0.16,0.158
-8,6.6766,15.0,30,100,250,112,0.16,0.158
-7,7.4632,15.0,30,100,250,112,0.16,0.158
-6,8.1658,15.0,30,100,250,112,0.16,0.158
-5,8.6723,15.0,30,100,250,112,0.16,0.158
-4,8.7767,15.0,30,100,250,112,0.16,0.158
-3,8.5918,15.0,30,100,250,112,0.16,0.158
-2,6.989,15.0,30,100,250,112,0.16,0.158
-1,7.2175,15.0,30,100,250,112,0.16,0.158
0,4.6844,15.0,30,100,250,112,0.16,0.158
1,4.6709,15.0,30,100,250,112,0.16,0.158
2,2.4674,15.0,30,100,250,112,0.16,0.158
3,0.81796,15.0,30,100,250,112,0.16,0.158
-8,6.675,18.0,30,100,250,112,0.16,0.158
-7,7.6028,18.0,30,100,250,112,0.16,0.158
-6,8.122,18.0,30,100,250,112,0.16,0.158
-5,8.7849,18.0,30,100,250,112,0.16,0.158
-4,8.8493,18.0,30,100,250,112,0.16,0.158
-3,8.5338,18.0,30,100,250,112,0.16,0.158
-2,8.1765,18.0,30,100,250,112,0.16,0.158
-1,6.5793,18.0,30,100,250,112,0.16,0.158
0,6.4417,18.0,30,100,250,112,0.16,0.158
1,4.0074,18.0,30,100,250,112,0.16,0.158
2,3.1628,18.0,30,100,250,112,0.16,0.158
3,0.18135,18.0,30,100,250,112,0.16,0.158
-8,6.7168,21.0,30,100,250,112,0.16,0.158
-7,7.4846,21.0,30,100,250,112,0.16,0.158
-6,8.2761,21.0,30,100,250,112,0.16,0.158
-5,8.855,21.0,30,100,250,112,0.16,0.158
-4,9.1129,21.0,30,100,250,112,0.16,0.158
-3,9.2125,21.0,30,100,250,112,0.16,0.158
-2,8.2973,21.0,30,100,250,112,0.16,0.158
-1,7.5526,21.0,30,100,250,112,0.16,0.158
0,5.732,21.0,30,100,250,112,0.16,0.158
1,4.8992,21.0,30,100,250,112,0.16,0.158
2,3.9086,21.0,30,100,250,112,0.16,0.158
3,2.0012,21.0,30,100,250,112,0.16,0.158
-8,6.6962,24.0,30,100,250,112,0.16,0.158
-7,7.4375,24.0,30,100,250,112,0.16,0.158
-6,8.2723,24.0,30,100,250,112,0.16,0.158
-5,8.7767,24.0,30,100,250,112,0.16,0.158
