Laser Power (dBm),Length of Segment 1 (Km),Q (dB),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-9,0,4.8928,0,250,112,0.16,0.158
-8,0,5.6496,0,250,112,0.16,0.158
-7,0,6.3738,0,250,112,0.16,0.158
2,0,0.34123000000000003,0,250,112,0.16,0.158
-9,5,4.7527,0,250,112,0.16,0.158
-8,5,5.6033,0,250,112,0.16,0.158
-7,5,6.3217,0,250,112,0.16,0.158
-6,5,6.9778,0,250,112,0.16,0.158
-4,5,7.7374,0,250,112,0.16,0.158
-3,5,7.6557,0,250,112,0.16,0.158
-2,5,7.1845,0,250,112,0.16,0.158
-9,10,4.7342,0,250,112,0.16,0.158
-8,10,5.4308,0,250,112,0.16,0.158
-6,10,6.8488,0,250,112,0.16,0.158
-5,10,7.4097,0,250,112,0.16,0.158
-4,10,7.8420000000000005,0,250,112,0.16,0.158
-3,10,7.8463,0,250,112,0.16,0.158
-2,10,7.7048,0,250,112,0.16,0.158
-9,15,4.6239,0,250,112,0.16,0.158
-8,15,5.3693,0,250,112,0.16,0.158
-7,15,6.0632,0,250,112,0.16,0.158
-6,15,6.7226,0,250,112,0.16,0.158
-5,15,7.3233,0,250,112,0.16,0.158
-4,15,7.7116,0,250,112,0.16,0.158
-3,15,7.9831,0,250,112,0.16,0.158
-2,15,7.7402,0,250,112,0.16,0.158
-6,40,5.8812,0,250,112,0.16,0.158
-5,40,6.4707,0,250,112,0.16,0.158
-4,40,7.0219,0,250,112,0.16,0.158
-3,40,7.3432,0,250,112,0.16,0.158
-2,40,7.6689,0,250,112,0.16,0.158
-1,40,7.7197,0,250,112,0.16,0.158
0,40,7.4632,0,250,112,0.16,0.158
1,40,6.8541,0,250,112,0.16,0.158
2,40,5.6704,0,250,112,0.16,0.158
-9,45,4.0663,0,250,112,0.16,0.158
-8,45,4.6809,0,250,112,0.16,0.158
-7,45,5.2299,0,250,112,0.16,0.158
-6,45,5.6256,0,250,112,0.16,0.158
-5,45,6.358,0,250,112,0.16,0.158
-4,45,6.7485,0,250,112,0.16,0.158
-3,45,7.228,0,250,112,0.16,0.158
-2,45,7.544,0,250,112,0.16,0.158
-1,45,7.6092,0,250,112,0.16,0.158
0,45,7.3157,0,250,112,0.16,0.158
1,45,7.1804,0,250,112,0.16,0.158
2,45,5.8994,0,250,112,0.16,0.158
-9,50,4.0299,0,250,112,0.16,0.158
-8,50,4.6239,0,250,112,0.16,0.158
-7,50,5.1114,0,250,112,0.16,0.158
-6,50,5.6072,0,250,112,0.16,0.158
-5,50,6.1171,0,250,112,0.16,0.158
-4,50,6.6741,0,250,112,0.16,0.158
-3,50,7.1449,0,250,112,0.16,0.158
-2,50,7.4774,0,250,112,0.16,0.158
-1,50,7.4798,0,250,112,0.16,0.158
0,50,7.3168,0,250,112,0.16,0.158
1,50,7.0238,0,250,112,0.16,0.158
2,50,5.8446,0,250,112,0.16,0.158
