QdB, laserPowerdBmArray, segmentLength_1, percComp, fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
5.7442,-8,9,100,250,112,0.16,0.158,10
8.1622,-1,32,100,250,112,0.16,0.158,80
8.0249,0,32,100,250,112,0.16,0.158,80
7.5626,1,32,100,250,112,0.16,0.158,80
6.885,2,32,100,250,112,0.16,0.158,80
5.5106,3,32,100,250,112,0.16,0.158,80
4.1997,4,32,100,250,112,0.16,0.158,80
2.7766,5,32,100,250,112,0.16,0.158,80
4.9512,-6,40,100,250,112,0.16,0.158,80
5.7286,-5,40,100,250,112,0.16,0.158,80
6.6195,-4,40,100,250,112,0.16,0.158,80
6.5754,-7,9,100,250,112,0.16,0.158,10
7.2458,-3,40,100,250,112,0.16,0.158,80
7.9149,-2,40,100,250,112,0.16,0.158,80
8.305,-1,40,100,250,112,0.16,0.158,80
8.3404,0,40,100,250,112,0.16,0.158,80
7.8907,1,40,100,250,112,0.16,0.158,80
7.2907,2,40,100,250,112,0.16,0.158,80
5.8167,3,40,100,250,112,0.16,0.158,80
5.3185,4,40,100,250,112,0.16,0.158,80
2.8252,5,40,100,250,112,0.16,0.158,80
4.9024,-6,48,100,250,112,0.16,0.158,80
7.2458,-6,9,100,250,112,0.16,0.158,10
5.6401,-5,48,100,250,112,0.16,0.158,80
6.5084,-4,48,100,250,112,0.16,0.158,80
7.2639,-3,48,100,250,112,0.16,0.158,80
7.9194,-2,48,100,250,112,0.16,0.158,80
8.28,-1,48,100,250,112,0.16,0.158,80
8.2685,0,48,100,250,112,0.16,0.158,80
8.1359,1,48,100,250,112,0.16,0.158,80
7.4526,2,48,100,250,112,0.16,0.158,80
6.6171,3,48,100,250,112,0.16,0.158,80
4.9796,4,48,100,250,112,0.16,0.158,80
7.8031,-5,9,100,250,112,0.16,0.158,10
3.7332,5,48,100,250,112,0.16,0.158,80
4.886,-6,56,100,250,112,0.16,0.158,80
5.6903,-5,56,100,250,112,0.16,0.158,80
6.5405,-4,56,100,250,112,0.16,0.158,80
7.3146,-3,56,100,250,112,0.16,0.158,80
7.9487,-2,56,100,250,112,0.16,0.158,80
8.3767,-1,56,100,250,112,0.16,0.158,80
8.4435,0,56,100,250,112,0.16,0.158,80
8.209,1,56,100,250,112,0.16,0.158,80
7.644,2,56,100,250,112,0.16,0.158,80
7.9911,-4,9,100,250,112,0.16,0.158,10
6.8779,3,56,100,250,112,0.16,0.158,80
5.5463,4,56,100,250,112,0.16,0.158,80
3.9571,5,56,100,250,112,0.16,0.158,80
4.9015,-6,64,100,250,112,0.16,0.158,80
5.6654,-5,64,100,250,112,0.16,0.158,80
6.5137,-4,64,100,250,112,0.16,0.158,80
7.2532,-3,64,100,250,112,0.16,0.158,80
7.9847,-2,64,100,250,112,0.16,0.158,80
8.4737,-1,64,100,250,112,0.16,0.158,80
8.4628,0,64,100,250,112,0.16,0.158,80
7.9271,-3,9,100,250,112,0.16,0.158,10
8.1818,1,64,100,250,112,0.16,0.158,80
7.7595,2,64,100,250,112,0.16,0.158,80
6.9101,3,64,100,250,112,0.16,0.158,80
5.0697,4,64,100,250,112,0.16,0.158,80
4.2867,5,64,100,250,112,0.16,0.158,80
4.8651,-6,72,100,250,112,0.16,0.158,80
5.8155,-5,72,100,250,112,0.16,0.158,80
6.4895,-4,72,100,250,112,0.16,0.158,80
7.2301,-3,72,100,250,112,0.16,0.158,80
8.0895,-2,72,100,250,112,0.16,0.158,80
7.4051,-2,9,100,250,112,0.16,0.158,10
8.3849,-1,72,100,250,112,0.16,0.158,80
8.6951,0,72,100,250,112,0.16,0.158,80
8.4118,1,72,100,250,112,0.16,0.158,80
7.7471,2,72,100,250,112,0.16,0.158,80
6.2964,3,72,100,250,112,0.16,0.158,80
6.0154,4,72,100,250,112,0.16,0.158,80
4.3148,5,72,100,250,112,0.16,0.158,80
4.8452,-6,80,100,250,112,0.16,0.158,80
5.5978,-5,80,100,250,112,0.16,0.158,80
6.4491,-4,80,100,250,112,0.16,0.158,80
6.756,-1,9,100,250,112,0.16,0.158,10
7.204,-3,80,100,250,112,0.16,0.158,80
8.0594,-2,80,100,250,112,0.16,0.158,80
8.6254,-1,80,100,250,112,0.16,0.158,80
8.7499,0,80,100,250,112,0.16,0.158,80
8.22,1,80,100,250,112,0.16,0.158,80
7.8743,2,80,100,250,112,0.16,0.158,80
6.9465,3,80,100,250,112,0.16,0.158,80
6.0916,4,80,100,250,112,0.16,0.158,80
3.7455,5,80,100,250,112,0.16,0.158,80
3.4211,-3,0,100,250,112,0.16,0.158,120
5.2518,0,9,100,250,112,0.16,0.158,10
4.1418,-2,0,100,250,112,0.16,0.158,120
4.568,-1,0,100,250,112,0.16,0.158,120
4.7651,0,0,100,250,112,0.16,0.158,120
4.6273,1,0,100,250,112,0.16,0.158,120
4.1527,2,0,100,250,112,0.16,0.158,120
2.9125,3,0,100,250,112,0.16,0.158,120
1.5523,4,0,100,250,112,0.16,0.158,120
-0.52265,5,0,100,250,112,0.16,0.158,120
-2.8944,6,0,100,250,112,0.16,0.158,120
-6.2761,7,0,100,250,112,0.16,0.158,120
3.7005,1,9,100,250,112,0.16,0.158,10
-2.9455,1,0,100,250,112,0.16,0.158,10
-13.749,8,0,100,250,112,0.16,0.158,120
3.4584,-3,10,100,250,112,0.16,0.158,120
4.1746,-2,10,100,250,112,0.16,0.158,120
4.7958,-1,10,100,250,112,0.16,0.158,120
5.2643,0,10,100,250,112,0.16,0.158,120
5.4641,1,10,100,250,112,0.16,0.158,120
4.1464,3,10,100,250,112,0.16,0.158,120
3.3841,4,10,100,250,112,0.16,0.158,120
1.4027,5,10,100,250,112,0.16,0.158,120
1.5669,2,9,100,250,112,0.16,0.158,10
-0.59928,6,10,100,250,112,0.16,0.158,120
-2.5928,7,10,100,250,112,0.16,0.158,120
-5.9974,8,10,100,250,112,0.16,0.158,120
3.5081,-3,20,100,250,112,0.16,0.158,120
4.2337,-2,20,100,250,112,0.16,0.158,120
4.9378,-1,20,100,250,112,0.16,0.158,120
5.4977,0,20,100,250,112,0.16,0.158,120
5.8782,1,20,100,250,112,0.16,0.158,120
5.3415,2,20,100,250,112,0.16,0.158,120
5.2174,3,20,100,250,112,0.16,0.158,120
4.9526,-9,10,100,250,112,0.16,0.158,10
4.3634,4,20,100,250,112,0.16,0.158,120
3.1816,5,20,100,250,112,0.16,0.158,120
1.8025,6,20,100,250,112,0.16,0.158,120
-1.1123,7,20,100,250,112,0.16,0.158,120
-4.3417,8,20,100,250,112,0.16,0.158,120
3.5236,-3,30,100,250,112,0.16,0.158,120
4.3229,-2,30,100,250,112,0.16,0.158,120
5.0383,-1,30,100,250,112,0.16,0.158,120
5.6513,0,30,100,250,112,0.16,0.158,120
6.0053,1,30,100,250,112,0.16,0.158,120
5.85,-8,10,100,250,112,0.16,0.158,10
6.1995,2,30,100,250,112,0.16,0.158,120
5.8238,3,30,100,250,112,0.16,0.158,120
5.1947,4,30,100,250,112,0.16,0.158,120
3.7484,5,30,100,250,112,0.16,0.158,120
2.1324,6,30,100,250,112,0.16,0.158,120
0.18701,7,30,100,250,112,0.16,0.158,120
-2.362,8,30,100,250,112,0.16,0.158,120
3.5056,-3,40,100,250,112,0.16,0.158,120
4.2691,-2,40,100,250,112,0.16,0.158,120
5.109,-1,40,100,250,112,0.16,0.158,120
6.5973,-7,10,100,250,112,0.16,0.158,10
5.6869,0,40,100,250,112,0.16,0.158,120
6.1427,1,40,100,250,112,0.16,0.158,120
6.2431,2,40,100,250,112,0.16,0.158,120
6.2002,3,40,100,250,112,0.16,0.158,120
5.7949,4,40,100,250,112,0.16,0.158,120
4.6437,5,40,100,250,112,0.16,0.158,120
3.7744,6,40,100,250,112,0.16,0.158,120
0.73157,7,40,100,250,112,0.16,0.158,120
-1.2481,8,40,100,250,112,0.16,0.158,120
3.4194,-3,50,100,250,112,0.16,0.158,120
7.3388,-6,10,100,250,112,0.16,0.158,10
4.246,-2,50,100,250,112,0.16,0.158,120
5.0787,-1,50,100,250,112,0.16,0.158,120
5.7349,0,50,100,250,112,0.16,0.158,120
6.2992,1,50,100,250,112,0.16,0.158,120
6.5421,2,50,100,250,112,0.16,0.158,120
6.4707,3,50,100,250,112,0.16,0.158,120
5.5133,4,50,100,250,112,0.16,0.158,120
4.2811,5,50,100,250,112,0.16,0.158,120
3.7795,6,50,100,250,112,0.16,0.158,120
1.0444,7,50,100,250,112,0.16,0.158,120
7.944,-5,10,100,250,112,0.16,0.158,10
-0.31297,8,50,100,250,112,0.16,0.158,120
3.4444,-3,60,100,250,112,0.16,0.158,120
4.2847,-2,60,100,250,112,0.16,0.158,120
5.0549,-1,60,100,250,112,0.16,0.158,120
5.7511,0,60,100,250,112,0.16,0.158,120
6.3537,1,60,100,250,112,0.16,0.158,120
6.6354,2,60,100,250,112,0.16,0.158,120
6.485,3,60,100,250,112,0.16,0.158,120
6.0484,4,60,100,250,112,0.16,0.158,120
4.8774,5,60,100,250,112,0.16,0.158,120
8.2819,-4,10,100,250,112,0.16,0.158,10
3.5954,6,60,100,250,112,0.16,0.158,120
1.9922,7,60,100,250,112,0.16,0.158,120
0.30585,8,60,100,250,112,0.16,0.158,120
3.4594,-3,70,100,250,112,0.16,0.158,120
4.2476,-2,70,100,250,112,0.16,0.158,120
5.0397,-1,70,100,250,112,0.16,0.158,120
5.7165,0,70,100,250,112,0.16,0.158,120
6.3203,1,70,100,250,112,0.16,0.158,120
6.7418,2,70,100,250,112,0.16,0.158,120
6.5244,3,70,100,250,112,0.16,0.158,120
8.2609,-3,10,100,250,112,0.16,0.158,10
6.1216,4,70,100,250,112,0.16,0.158,120
4.8865,5,70,100,250,112,0.16,0.158,120
4.2743,6,70,100,250,112,0.16,0.158,120
2.4509,7,70,100,250,112,0.16,0.158,120
0.16806,8,70,100,250,112,0.16,0.158,120
3.4587,-3,80,100,250,112,0.16,0.158,120
4.2791,-2,80,100,250,112,0.16,0.158,120
4.9656,-1,80,100,250,112,0.16,0.158,120
5.7017,0,80,100,250,112,0.16,0.158,120
6.3566,1,80,100,250,112,0.16,0.158,120
7.9179,-2,10,100,250,112,0.16,0.158,10
6.6937,2,80,100,250,112,0.16,0.158,120
6.5746,3,80,100,250,112,0.16,0.158,120
6.2301,4,80,100,250,112,0.16,0.158,120
5.4051,5,80,100,250,112,0.16,0.158,120
4.3354,6,80,100,250,112,0.16,0.158,120
2.1579,7,80,100,250,112,0.16,0.158,120
0.31943,8,80,100,250,112,0.16,0.158,120
3.3754,-3,90,100,250,112,0.16,0.158,120
4.2707,-2,90,100,250,112,0.16,0.158,120
4.9801,-1,90,100,250,112,0.16,0.158,120
7.2238,-1,10,100,250,112,0.16,0.158,10
-6.9251,2,0,100,250,112,0.16,0.158,10
5.6943,0,90,100,250,112,0.16,0.158,120
6.261,1,90,100,250,112,0.16,0.158,120
6.6563,2,90,100,250,112,0.16,0.158,120
6.252,4,90,100,250,112,0.16,0.158,120
5.3889,5,90,100,250,112,0.16,0.158,120
4.4387,6,90,100,250,112,0.16,0.158,120
1.7585,7,90,100,250,112,0.16,0.158,120
0.41488,8,90,100,250,112,0.16,0.158,120
3.4521,-3,100,100,250,112,0.16,0.158,120
6.1527,0,10,100,250,112,0.16,0.158,10
4.2298,-2,100,100,250,112,0.16,0.158,120
5.0677,-1,100,100,250,112,0.16,0.158,120
5.6931,0,100,100,250,112,0.16,0.158,120
6.2734,1,100,100,250,112,0.16,0.158,120
6.6579,2,100,100,250,112,0.16,0.158,120
6.6839,3,100,100,250,112,0.16,0.158,120
6.1934,4,100,100,250,112,0.16,0.158,120
5.5403,5,100,100,250,112,0.16,0.158,120
4.4416,6,100,100,250,112,0.16,0.158,120
2.4983,7,100,100,250,112,0.16,0.158,120
4.6295,1,10,100,250,112,0.16,0.158,10
-0.17999,8,100,100,250,112,0.16,0.158,120
3.4124,-3,110,100,250,112,0.16,0.158,120
4.2041,-2,110,100,250,112,0.16,0.158,120
4.9591,-1,110,100,250,112,0.16,0.158,120
5.7581,0,110,100,250,112,0.16,0.158,120
6.2534,1,110,100,250,112,0.16,0.158,120
6.5863,2,110,100,250,112,0.16,0.158,120
6.6443,3,110,100,250,112,0.16,0.158,120
6.348,4,110,100,250,112,0.16,0.158,120
5.5057,5,110,100,250,112,0.16,0.158,120
2.4862,2,10,100,250,112,0.16,0.158,10
3.8125,6,110,100,250,112,0.16,0.158,120
2.9773,7,110,100,250,112,0.16,0.158,120
0.25179,8,110,100,250,112,0.16,0.158,120
3.3803,-3,120,100,250,112,0.16,0.158,120
4.1946,-2,120,100,250,112,0.16,0.158,120
4.919,-1,120,100,250,112,0.16,0.158,120
5.6784,0,120,100,250,112,0.16,0.158,120
6.3323,1,120,100,250,112,0.16,0.158,120
6.6131,2,120,100,250,112,0.16,0.158,120
6.595,3,120,100,250,112,0.16,0.158,120
5.7557,-9,0,100,250,112,0.16,0.158,20
6.2486,4,120,100,250,112,0.16,0.158,120
5.1516,5,120,100,250,112,0.16,0.158,120
4.5392,6,120,100,250,112,0.16,0.158,120
1.887,7,120,100,250,112,0.16,0.158,120
0.050437,8,120,100,250,112,0.16,0.158,120
1.8224,-1,0,100,250,112,0.16,0.158,150
2.3804,0,0,100,250,112,0.16,0.158,150
2.8485,1,0,100,250,112,0.16,0.158,150
2.9399,2,0,100,250,112,0.16,0.158,150
2.5787,3,0,100,250,112,0.16,0.158,150
6.4805,-8,0,100,250,112,0.16,0.158,20
1.6575,4,0,100,250,112,0.16,0.158,150
0.4937,5,0,100,250,112,0.16,0.158,150
-2.8533,6,0,100,250,112,0.16,0.158,150
-4.4409,7,0,100,250,112,0.16,0.158,150
-9.8888,8,0,100,250,112,0.16,0.158,150
-12.005,9,0,100,250,112,0.16,0.158,150
-16.392,10,0,100,250,112,0.16,0.158,150
1.9011,-1,10,100,250,112,0.16,0.158,150
2.5712,0,10,100,250,112,0.16,0.158,150
3.1685,1,10,100,250,112,0.16,0.158,150
7.113,-7,0,100,250,112,0.16,0.158,20
3.5011,2,10,100,250,112,0.16,0.158,150
3.2258,3,10,100,250,112,0.16,0.158,150
2.9334,4,10,100,250,112,0.16,0.158,150
0.11801,6,10,100,250,112,0.16,0.158,150
-1.2942,7,10,100,250,112,0.16,0.158,150
-5.3492,8,10,100,250,112,0.16,0.158,150
-8.2374,9,10,100,250,112,0.16,0.158,150
-14.723,10,10,100,250,112,0.16,0.158,150
2.0043,-1,20,100,250,112,0.16,0.158,150
7.4703,-6,0,100,250,112,0.16,0.158,20
2.7618,0,20,100,250,112,0.16,0.158,150
3.3023,1,20,100,250,112,0.16,0.158,150
3.8188,2,20,100,250,112,0.16,0.158,150
3.951,3,20,100,250,112,0.16,0.158,150
3.9259,4,20,100,250,112,0.16,0.158,150
3.2859,5,20,100,250,112,0.16,0.158,150
2.2593,6,20,100,250,112,0.16,0.158,150
-0.65582,7,20,100,250,112,0.16,0.158,150
-1.3901,8,20,100,250,112,0.16,0.158,150
-5.159,9,20,100,250,112,0.16,0.158,150
7.2972,-5,0,100,250,112,0.16,0.158,20
-11.08,10,20,100,250,112,0.16,0.158,150
2.0555,-1,30,100,250,112,0.16,0.158,150
2.6549,0,30,100,250,112,0.16,0.158,150
3.4455,1,30,100,250,112,0.16,0.158,150
4.0036,2,30,100,250,112,0.16,0.158,150
4.3862,3,30,100,250,112,0.16,0.158,150
4.2839,4,30,100,250,112,0.16,0.158,150
4.0402,5,30,100,250,112,0.16,0.158,150
2.4095,6,30,100,250,112,0.16,0.158,150
0.66554,7,30,100,250,112,0.16,0.158,150
6.7857,-4,0,100,250,112,0.16,0.158,20
-0.58764,8,30,100,250,112,0.16,0.158,150
-3.1835,9,30,100,250,112,0.16,0.158,150
-4.5986,10,30,100,250,112,0.16,0.158,150
2.0422,-1,40,100,250,112,0.16,0.158,150
2.8075,0,40,100,250,112,0.16,0.158,150
3.4556,1,40,100,250,112,0.16,0.158,150
4.0288,2,40,100,250,112,0.16,0.158,150
4.4665,3,40,100,250,112,0.16,0.158,150
4.6368,4,40,100,250,112,0.16,0.158,150
4.0917,5,40,100,250,112,0.16,0.158,150
6.0748,-3,0,100,250,112,0.16,0.158,20
4.8687,-9,1,100,250,112,0.16,0.158,10
3.3654,6,40,100,250,112,0.16,0.158,150
2.0537,7,40,100,250,112,0.16,0.158,150
-0.038332,8,40,100,250,112,0.16,0.158,150
-2.1006,9,40,100,250,112,0.16,0.158,150
-5.303,10,40,100,250,112,0.16,0.158,150
2.028,-1,50,100,250,112,0.16,0.158,150
2.7416,0,50,100,250,112,0.16,0.158,150
3.5116,1,50,100,250,112,0.16,0.158,150
4.0983,2,50,100,250,112,0.16,0.158,150
4.5253,3,50,100,250,112,0.16,0.158,150
4.5553,-2,0,100,250,112,0.16,0.158,20
4.6346,4,50,100,250,112,0.16,0.158,150
4.5833,5,50,100,250,112,0.16,0.158,150
3.7975,6,50,100,250,112,0.16,0.158,150
2.4905,7,50,100,250,112,0.16,0.158,150
0.57089,8,50,100,250,112,0.16,0.158,150
-1.2046,9,50,100,250,112,0.16,0.158,150
-3.917,10,50,100,250,112,0.16,0.158,150
1.9823,-1,60,100,250,112,0.16,0.158,150
2.8059,0,60,100,250,112,0.16,0.158,150
3.4629,1,60,100,250,112,0.16,0.158,150
2.2691,-1,0,100,250,112,0.16,0.158,20
4.0192,2,60,100,250,112,0.16,0.158,150
4.6609,3,60,100,250,112,0.16,0.158,150
4.7745,4,60,100,250,112,0.16,0.158,150
4.3386,5,60,100,250,112,0.16,0.158,150
3.8011,6,60,100,250,112,0.16,0.158,150
2.6794,7,60,100,250,112,0.16,0.158,150
0.384,8,60,100,250,112,0.16,0.158,150
-1.1037,9,60,100,250,112,0.16,0.158,150
-3.2902,10,60,100,250,112,0.16,0.158,150
1.8903,-1,70,100,250,112,0.16,0.158,150
0.26283,0,0,100,250,112,0.16,0.158,20
2.6807,0,70,100,250,112,0.16,0.158,150
3.4814,1,70,100,250,112,0.16,0.158,150
4.1414,2,70,100,250,112,0.16,0.158,150
4.6299,3,70,100,250,112,0.16,0.158,150
4.8928,4,70,100,250,112,0.16,0.158,150
4.7312,5,70,100,250,112,0.16,0.158,150
2.4818,7,70,100,250,112,0.16,0.158,150
1.4476,8,70,100,250,112,0.16,0.158,150
-1.098,9,70,100,250,112,0.16,0.158,150
-0.37752,1,0,100,250,112,0.16,0.158,20
-3.7837,10,70,100,250,112,0.16,0.158,150
1.9445,-1,80,100,250,112,0.16,0.158,150
2.774,0,80,100,250,112,0.16,0.158,150
3.4604,1,80,100,250,112,0.16,0.158,150
4.1578,2,80,100,250,112,0.16,0.158,150
4.6093,3,80,100,250,112,0.16,0.158,150
4.9554,4,80,100,250,112,0.16,0.158,150
4.3911,5,80,100,250,112,0.16,0.158,150
3.8111,6,80,100,250,112,0.16,0.158,150
2.489,7,80,100,250,112,0.16,0.158,150
-2.8151,2,0,100,250,112,0.16,0.158,20
0.96979,8,80,100,250,112,0.16,0.158,150
-1.4156,9,80,100,250,112,0.16,0.158,150
-2.3719,10,80,100,250,112,0.16,0.158,150
1.9574,-1,90,100,250,112,0.16,0.158,150
2.6552,0,90,100,250,112,0.16,0.158,150
3.4489,1,90,100,250,112,0.16,0.158,150
4.0825,2,90,100,250,112,0.16,0.158,150
4.5705,3,90,100,250,112,0.16,0.158,150
4.8321,4,90,100,250,112,0.16,0.158,150
4.5786,5,90,100,250,112,0.16,0.158,150
5.8668,-9,2,100,250,112,0.16,0.158,20
4.0471,6,90,100,250,112,0.16,0.158,150
3.0323,7,90,100,250,112,0.16,0.158,150
1.051,8,90,100,250,112,0.16,0.158,150
0.18277,9,90,100,250,112,0.16,0.158,150
-2.5773,10,90,100,250,112,0.16,0.158,150
1.9334,-1,100,100,250,112,0.16,0.158,150
2.6575,0,100,100,250,112,0.16,0.158,150
3.4367,1,100,100,250,112,0.16,0.158,150
4.0906,2,100,100,250,112,0.16,0.158,150
4.6072,3,100,100,250,112,0.16,0.158,150
6.5206,-8,2,100,250,112,0.16,0.158,20
4.8587,4,100,100,250,112,0.16,0.158,150
4.7479,5,100,100,250,112,0.16,0.158,150
3.9684,6,100,100,250,112,0.16,0.158,150
3.3102,7,100,100,250,112,0.16,0.158,150
1.6483,8,100,100,250,112,0.16,0.158,150
-0.74884,9,100,100,250,112,0.16,0.158,150
-3.1716,10,100,100,250,112,0.16,0.158,150
1.9802,-1,110,100,250,112,0.16,0.158,150
2.7663,0,110,100,250,112,0.16,0.158,150
3.459,1,110,100,250,112,0.16,0.158,150
7.204,-7,2,100,250,112,0.16,0.158,20
4.0579,2,110,100,250,112,0.16,0.158,150
4.5304,3,110,100,250,112,0.16,0.158,150
4.8497,4,110,100,250,112,0.16,0.158,150
4.7882,5,110,100,250,112,0.16,0.158,150
4.0021,6,110,100,250,112,0.16,0.158,150
2.0196,7,110,100,250,112,0.16,0.158,150
1.1079,8,110,100,250,112,0.16,0.158,150
-0.65724,9,110,100,250,112,0.16,0.158,150
-3.3918,10,110,100,250,112,0.16,0.158,150
1.842,-1,120,100,250,112,0.16,0.158,150
7.5564,-6,2,100,250,112,0.16,0.158,20
2.7103,0,120,100,250,112,0.16,0.158,150
3.4173,1,120,100,250,112,0.16,0.158,150
4.113,2,120,100,250,112,0.16,0.158,150
4.5439,3,120,100,250,112,0.16,0.158,150
4.9107,4,120,100,250,112,0.16,0.158,150
4.6718,5,120,100,250,112,0.16,0.158,150
4.3739,6,120,100,250,112,0.16,0.158,150
